"src","doi","yr","pmcid"
"PMC","10.1093/bioinformatics/btp300",2009,"PMC2712337"
"PMC","10.1371/journal.pcbi.1000589",2009,"PMC2791169"
"PMC","10.1186/1471-2288-9-80",2009,"PMC2795760"
"PMC","10.1186/1471-2105-10-397",2009,"PMC2799422"
"PMC","10.1186/1758-2946-1-12",2009,"PMC2820491"
"PMC","10.1186/1471-2105-11-29",2010,"PMC2831003"
"PMC","10.1093/bioinformatics/btq026",2010,"PMC2832821"
"PMC","10.1371/journal.pcbi.1000724",2010,"PMC2848537"
"PMC","10.1093/bioinformatics/btq099",2010,"PMC2853691"
"PMC","10.1371/journal.pone.0010071",2010,"PMC2854681"
"PMC","10.1093/nar/gkq143",2010,"PMC2860129"
"PMC","10.1186/1758-2946-2-S1-P3",2010,"PMC2867163"
"PMC","10.1093/bioinformatics/btq182",2010,"PMC2881367"
"PMC","10.1093/nar/gkq476",2010,"PMC2896165"
"PMC","10.1186/1751-0473-5-6",2010,"PMC2904758"
"PMC","10.1186/1471-2105-11-362",2010,"PMC2912884"
"PMC","10.1186/1471-2105-11-388",2010,"PMC2920274"
"PMC","10.1186/1471-2105-11-525",2010,"PMC2984588"
"PMC","10.1371/journal.pone.0013897",2010,"PMC2987817"
"PMC","10.1007/s00216-010-4093-x",2010,"PMC2990009"
"PMC","10.1186/1471-2164-12-5",2011,"PMC3025959"
"PMC","10.1093/bioinformatics/btq693",2010,"PMC3035801"
"PMC","10.1186/1471-2105-11-S12-S13",2010,"PMC3040527"
"PMC","10.1186/1471-2105-12-51",2011,"PMC3045304"
"PMC","10.1186/1471-2105-12-63",2011,"PMC3056726"
"PMC","10.1093/bioinformatics/btr050",2011,"PMC3065687"
"PMC","10.1186/1756-0381-4-5",2011,"PMC3080808"
"PMC","10.1186/1471-2105-12-102",2011,"PMC3088904"
"PMC","10.1186/2041-1480-2-S1-S6",2011,"PMC3105498"
"PMC","10.1186/1758-2946-3-15",2011,"PMC3118380"
"PMC","10.1186/1471-2105-12-179",2011,"PMC3123236"
"PMC","10.1093/nar/gkr374",2011,"PMC3125776"
"PMC","10.1371/journal.pone.0021885",2011,"PMC3131392"
"PMC","10.1371/journal.pone.0022448",2011,"PMC3145646"
"PMC","10.1038/nmeth.1635",2012,"PMC3146590"
"PMC","10.1093/nar/gkr168",2011,"PMC3152330"
"PMC","10.1038/nature10231",2012,"PMC3154645"
"PMC","10.4056/sigs.1694706",2011,"PMC3156399"
"PMC","10.1186/1758-2946-3-28",2011,"PMC3158423"
"PMC","10.3389/fninf.2011.00013",2011,"PMC3159964"
"PMC","10.1371/journal.pone.0024038",2011,"PMC3171410"
"PMC","10.1371/journal.pone.0024704",2011,"PMC3171473"
"PMC","10.1038/ncb2306",2012,"PMC3173870"
"PMC","10.1371/journal.pgen.1002300",2011,"PMC3183089"
"PMC","10.1093/bioinformatics/btr481",2011,"PMC3187652"
"PMC","10.1186/1758-2946-3-36",2011,"PMC3197551"
"PMC","10.1371/journal.pcbi.1002230",2011,"PMC3197636"
"PMC","10.1371/journal.pone.0024899",2011,"PMC3198725"
"PMC","10.1093/gbe/evr090",2011,"PMC3205604"
"PMC","10.1093/bib/bbr051",2011,"PMC3220873"
"PMC","10.1093/bib/bbr055",2011,"PMC3220874"
"PMC","10.1186/1471-2105-12-394",2011,"PMC3224148"
"PMC","10.1093/database/bar051",2011,"PMC3225077"
"PMC","10.1186/1471-2105-12-327",2011,"PMC3228555"
"PMC","10.3897/zookeys.150.2193",2011,"PMC3234431"
"PMC","10.3897/zookeys.150.2109",2011,"PMC3234434"
"PMC","10.3897/zookeys.150.2248",2011,"PMC3234437"
"PMC","10.1093/nar/gkr1032",2011,"PMC3245030"
"PMC","10.1093/nar/gkr968",2011,"PMC3245070"
"PMC","10.1093/nar/gkr972",2011,"PMC3245088"
"PMC","10.1093/nar/gkr913",2011,"PMC3245177"
"PMC","10.1371/journal.pone.0029115",2012,"PMC3250410"
"PMC","10.1371/journal.pcbi.1002316",2012,"PMC3261911"
"PMC","10.1371/journal.pone.0031009",2012,"PMC3284489"
"PMC","10.1186/1471-2164-13-62",2012,"PMC3293747"
"PMC","10.1093/bib/bbr026",2011,"PMC3294237"
"PMC","10.1186/1471-2105-13-S2-S13",2012,"PMC3305785"
"PMC","10.1371/journal.pone.0033927",2012,"PMC3311550"
"PMC","10.1093/nar/gkr1246",2011,"PMC3315303"
"PMC","10.1093/nar/gkr1248",2011,"PMC3315322"
"PMC","10.1186/gb-2012-13-1-r5",2012,"PMC3334586"
"PMC","10.1371/journal.pone.0035564",2012,"PMC3338707"
"PMC","10.3389/fninf.2012.00012",2012,"PMC3354345"
"PMC","10.1186/1471-2105-13-S8-S4",2012,"PMC3355333"
"PMC","10.3389/fpls.2011.00034",2011,"PMC3355756"
"PMC","10.1186/1471-2180-12-43",2012,"PMC3359215"
"PMC","10.3389/fninf.2012.00017",2012,"PMC3361060"
"PMC","10.4137/GRSB.S9687",2012,"PMC3362330"
"PMC","10.1371/journal.pone.0037135",2012,"PMC3365034"
"PMC","10.1155/2012/509126",2012,"PMC3368157"
"PMC","10.1002/gepi.20635",2011,"PMC3368215"
"PMC","10.1186/1748-7188-7-2",2012,"PMC3371767"
"PMC","10.1371/journal.pone.0035294",2012,"PMC3374617"
"PMC","10.1371/journal.pone.0038263",2012,"PMC3376117"
"PMC","10.1093/nar/gks009",2012,"PMC3378861"
"PMC","10.1093/database/bas029",2012,"PMC3381224"
"PMC","10.1371/journal.pone.0038198",2012,"PMC3383690"
"PMC","10.1136/amiajnl-2011-000622",2012,"PMC3384120"
"PMC","10.1186/1748-7188-7-8",2012,"PMC3384453"
"PMC","10.1038/ng.2314",2013,"PMC3386481"
"PMC","10.1093/bioinformatics/bts273",2012,"PMC3389766"
"PMC","10.1371/journal.pone.0040425",2012,"PMC3392218"
